	weight_parameter_coeff_matrix_list
0	"[ 0.05987861  0.08554488  0.12846324  0.02090832  0.05119394  0.07153436
  0.01929568  0.02436478  0.33038312 -0.03830035  0.15091431 -0.17610748
  0.32656652  0.07505056]"
1	"[ 0.07286966  0.15525123  0.150069   -0.02827422 -0.20166473  0.06161725
 -0.02899938  0.22303839  0.07182642  0.20574412  0.06959186  0.168975
  0.05769438  0.05567439]"
2	"[ 0.14758888  0.20571204  0.1075982  -0.1690725  -0.09147852 -0.2916984
 -0.17170204  0.02311631  0.1444982   0.03018014  0.11533804  0.12850581
  0.14844665 -0.30178317]"
3	"[ 0.02144509 -0.03468407 -0.14977245  0.08969706  0.1588587  -0.02054418
  0.3975791   0.10754721  0.02505338 -0.23631255  0.14855011  0.2597422
  0.00621397  0.06322648]"
4	"[ 0.04767296 -0.2030782  -0.08539771  0.14229907  0.16334291  0.18363667
  0.14150609 -0.19706531  0.04084196 -0.10853998  0.11944936 -0.13359398
  0.05785711  0.19126895]"
5	"[ 0.04640587  0.05714297 -0.2065827  -0.07647774  0.163213    0.11283671
 -0.07431896  0.10682697  0.03003569  0.22492531 -0.08970679 -0.08988642
  0.02242431  0.43372232]"
6	"[ 0.01909391 -0.03687195 -0.15489398  0.39845818  0.15835752 -0.01666293
  0.08927029  0.11403444  0.02302495 -0.23492879  0.14744893  0.26152164
  0.00365889  0.06663459]"
7	"[ 0.02289199  0.18713428 -0.00133778  0.09833882 -0.16205625  0.10730336
  0.1013537   0.19166839  0.03986001  0.22262911  0.06322896  0.18897007
  0.00895957  0.10577821]"
8	"[ 0.3284279   0.08510195  0.12801947  0.02988426  0.03425964  0.02979738
  0.02862985  0.0706491   0.06054601 -0.03008933  0.14802977 -0.17866851
  0.3258497   0.03212686]"
9	"[-0.04285137  0.20754881  0.00429258 -0.22545081 -0.10792594  0.23907351
 -0.22438201  0.29147795 -0.03846146  0.14096273  0.06736411  0.08444066
 -0.04351466  0.22909111]"
10	"[ 0.15723653  0.08290267  0.12236723  0.1737956   0.14377454 -0.11326061
  0.17325702  0.0883553   0.15532997  0.06949037  0.11396571  0.21568613
  0.16675203 -0.09876811]"
11	"[-0.17738365  0.21406259  0.1445432   0.2587775  -0.18250382 -0.09062955
  0.25956863  0.2494637  -0.18147305  0.09448163  0.1845717   0.1214852
 -0.17546424 -0.06360756]"
12	"[ 0.3277352   0.05026734  0.13961922 -0.0111556   0.07297072  0.01127375
 -0.01298698 -0.01223651  0.3286411  -0.04441604  0.16738294 -0.18472764
  0.05928365  0.01327577]"
13	"[ 0.05089641  0.05257468 -0.21241055  0.0904485   0.17248325  0.44654903
  0.09168981  0.11074565  0.0339897   0.19290817 -0.05588159 -0.01490498
  0.02624696  0.11272454]"
14	"[ 0.05323199 -0.06199809 -0.05851113  0.01741295 -0.08923846 -0.01049294
  0.01811284 -0.02198562  0.05366285  0.01710807 -0.10479216  0.07181086
  0.04834985 -0.00913152]"
15	"[-0.0601261   0.75116426 -0.09094055  0.0289277   0.19502528 -0.03541221
  0.02753714 -0.22645938 -0.06098304 -0.20498554 -0.09190313 -0.13376822
 -0.06241302 -0.03133459]"
16	"[-0.06718896 -0.13274778  0.541124    0.05021165  0.17747585  0.17027804
  0.04658482 -0.0023063  -0.07572697 -0.03185196 -0.11080264  0.06002858
 -0.07212446  0.17187352]"
17	"[ 0.01456465  0.03491691  0.04081889  0.12290262 -0.10728639 -0.02062274
  0.12125827 -0.07660589  0.01718622  0.09872536 -0.13402194 -0.10547566
  0.00856346 -0.01312248]"
18	"[-0.076926    0.19982718  0.157149   -0.09326559  0.70648247 -0.13037291
 -0.09227401  0.20026615 -0.07799116  0.10365569 -0.06185522  0.04111222
 -0.07112163 -0.14387971]"
19	"[-0.01208195 -0.03509238  0.11866733 -0.01545781 -0.1100564   0.13335377
 -0.01600478 -0.09758725 -0.0182801  -0.1400565   0.05138339  0.07092819
 -0.01465558  0.13483748]"
20	"[ 0.01535791  0.03343989  0.03665838  0.12015471 -0.10531569 -0.02204201
  0.11928814 -0.07486276  0.01831146  0.0990167  -0.13290644 -0.10257709
  0.00932004 -0.01485191]"
21	"[-0.01428787 -0.18364517  0.00776304 -0.06836347  0.17369728 -0.108442
 -0.06749447  0.6344698  -0.00597034 -0.11187795 -0.08227423 -0.14497377
 -0.01370026 -0.11681539]"
22	"[ 0.05405821 -0.06747662 -0.07139539  0.02172313 -0.08652198 -0.02475418
  0.02274165  0.00195189  0.0593043   0.02787697 -0.11435082  0.05410497
  0.04857477 -0.0250143 ]"
23	"[ 0.02566619 -0.20824242 -0.01219704  0.09981504  0.08801708 -0.1395158
  0.10025465 -0.16446821  0.0301021   0.5300866   0.00959    -0.00451807
  0.0304069  -0.13982843]"
24	"[-0.10511404 -0.11867213 -0.11028212 -0.1518167  -0.0760327   0.07438876
 -0.15095685 -0.1102123  -0.11141983  0.01575317  0.67958665 -0.06952491
 -0.0895137   0.06564585]"
25	"[ 0.0692653  -0.17611383  0.04279904 -0.10237167  0.0697288   0.08828288
 -0.09981459 -0.1850877   0.05888797  0.00154442 -0.04978953  0.42097107
  0.0722286   0.08232168]"
26	"[ 0.04898367 -0.06768523 -0.06740449  0.00829352 -0.07940078 -0.01419966
  0.00900668 -0.02007852  0.04864573  0.02668498 -0.08415468  0.07940891
  0.05370491 -0.01286955]"
27	"[-0.00868135 -0.03116811  0.12318671  0.00169302 -0.13313313  0.13353185
  0.00078892 -0.11948074 -0.01618601 -0.12576628  0.03610783  0.06193281
 -0.01129973  0.13743222]"
28	"[-4.07e-42  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00]"
29	"[0.0000e+00 1.3689e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00]"
30	"[ 0.000000e+00  0.000000e+00 -4.009928e-08  0.000000e+00  0.000000e+00
  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00]"
31	"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 -1.4703648e-09
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00]"
32	"[ 0.000e+00  0.000e+00  0.000e+00  0.000e+00 -2.605e-42  0.000e+00
  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00]"
33	"[ 0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 -4.742e-42
  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00]"
