,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t)
0,0.029362544,0.03909944,0.0045339107,0.035627156,0.032917414,0.041841224,0.08540698,0.016108435,0.016613005,0.029156223,0.023601072
1,0.0563493,0.09056197,0.01054288,0.05541586,0.07487962,0.015286494,0.023182698,0.040230073,0.0725418,0.07480952,0.015146287
2,0.030008936,0.062632404,0.05597101,0.0878462,0.08908981,0.033207852,0.09600852,0.056854796,0.06286661,0.10993827,0.024849333
3,0.015115043,0.05428844,0.0010368518,0.0754386,0.091477334,0.028035617,0.10947052,0.16144142,0.12913394,0.1702722,0.026928255
4,0.008042057,0.06739468,0.014973356,0.029205104,0.06901506,0.014508896,0.0012914848,0.20521107,0.1761272,0.28080842,0.016751556
5,0.004035111,0.043315016,0.03956831,0.03185023,0.050306167,0.06787905,0.028135141,0.03882585,0.35230997,0.34191936,0.012586112
6,0.0026519983,0.08558608,0.029895855,0.12983471,0.061869457,0.030195769,0.059745394,0.13534184,0.22347966,0.3809963,0.051148795
7,0.0258722,0.08159074,0.041403167,0.062775195,0.07481406,0.02013789,0.014995604,0.10421349,0.28768784,0.41058645,0.121372625
8,0.013007695,0.04804849,0.033276953,0.05538834,0.11494404,0.06051888,0.025550488,0.06775448,0.29164544,0.4178252,0.11648035
9,0.0066623613,0.14193636,0.029929336,0.14232531,0.14546393,0.031749964,0.040424928,0.08322894,0.3121564,0.40896103,0.08237901
10,0.03425037,0.15217736,0.020081395,0.07168387,0.138301,0.03676352,0.019626573,0.18628874,0.28311986,0.4541514,0.061946593
11,0.0904925,0.08526282,0.010634284,0.07756719,0.117426015,0.027089052,0.038504437,0.08818753,0.34728435,0.51117176,0.03688716
12,0.07761158,0.07123139,1.0249876e-05,0.04913597,0.13893758,0.037966046,0.007763933,0.07968697,0.37729424,0.5231591,0.038703475
13,0.06004305,0.08689008,0.011523304,0.061103925,0.10299675,0.00045892227,0.021040061,0.17723057,0.30524173,0.52280766,0.021306572
14,0.048099406,0.059533674,0.008530167,0.08801886,0.06514825,0.006217811,0.07226898,0.05693706,0.4512961,0.56182027,0.025539488
15,0.024083974,0.09116155,0.0014023213,0.04186658,0.051447313,0.016344544,0.011662602,0.0656825,0.331363,0.5580528,0.06855228
16,0.012099087,0.05329643,0.0010467253,0.116394654,0.06621334,0.00748288,0.045278847,0.053636827,0.31350547,0.5111141,0.06294147
17,0.008734359,0.03332039,0.08230341,0.019395785,0.07729914,0.0147755705,0.10055145,0.1440143,0.28290403,0.5101973,0.07220015
18,0.026560899,0.019561037,0.0034717394,0.081173874,0.10039394,0.1855264,0.062002774,0.088051304,0.37780857,0.47341597,0.0589557
19,0.08113256,0.09971728,0.01013856,0.10351294,0.15562375,0.10533054,0.033158947,0.09279039,0.28277496,0.5088588,0.05626359
20,0.096793056,0.11263208,0.000836646,0.09562999,0.14554045,0.01934512,0.057076328,0.1381201,0.32125604,0.47354627,0.030945469
21,0.083403684,0.080786005,0.038101323,0.04037292,0.14864239,0.00044541393,0.08966351,0.08865829,0.30940947,0.49460638,0.029446144
22,0.06456909,0.06133437,0.0018873069,0.081015736,0.10767244,0.05187618,0.023249818,0.084949955,0.31101573,0.46663147,0.028771553
23,0.08604531,0.051590774,0.11541221,0.046713118,0.10628833,0.0009466896,0.027253818,0.07170676,0.31301105,0.46141133,0.051034905
24,0.10684049,0.047736596,0.011659136,0.093549296,0.10806345,0.076384254,0.07920159,0.07240541,0.34091738,0.45680404,0.09025641
25,0.13356705,0.0541587,0.044072784,0.05596672,0.121370964,0.010034541,0.06212157,0.109691784,0.28058818,0.4602472,0.048157673
