,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t)
0,0.007184902,0.010021037,0.017479394,0.020665884,0.006081937,0.0050001084,0.027374856,0.01604538,0.022788104,0.010240609,0.008812069,0.02274511,0.021099515,0.015081638,0.039850328,0.006485872,0.070417956,0.0051511195,0.02250516,-0.004810149,-0.0099598635,0.041162536,0.010498865,0.0021469723,0.0900429,1.5251277e-07,0.053025924
1,0.047775254,0.021163484,0.052645035,0.08403061,0.06740133,0.011964791,0.024500333,0.03663146,0.10342741,0.016632205,0.024490993,0.08198927,0.019714871,0.09703982,0.041925475,0.013724038,0.11324887,0.014401942,0.12251148,-0.008645841,0.020986374,0.041806024,-0.011517409,0.022207063,0.012777392,0.0061487923,-0.022195283
2,0.0861085,0.023386758,0.042816505,-0.016895222,0.044609457,0.07547381,-0.02745153,0.13820481,0.046957135,-0.0885116,-0.006767327,0.08572919,0.012435439,0.07823342,0.033677183,0.2864525,0.091335066,0.15698053,0.03776204,-0.005700618,-0.02707771,0.19233814,-0.090848126,0.02392097,-0.06920838,0.011501215,-0.047741067
3,0.09002168,-0.037826102,0.003150865,-0.09758875,0.12109035,0.05907579,-0.1032928,0.104030825,-0.13658431,-0.03543231,-0.030647814,-0.047862746,0.022388462,0.10777911,0.070789225,-0.009955877,0.0552727,-0.0028502773,0.054038845,0.044302844,-0.1626924,-0.040505253,-0.016214108,0.017822087,-0.13203678,-0.09581606,-0.12055075
4,0.07819703,0.012970543,-0.009741118,0.06431557,0.0004894808,-0.047169946,0.08051691,0.016844884,0.0053556454,-0.03332061,-0.035588972,0.027822532,-0.017763926,0.13168722,0.080724075,-0.0077113397,0.050905336,0.06020794,-0.010552125,-0.051090382,0.08911128,0.15182771,0.13339224,0.14355263,-0.06697634,0.10507421,0.026834473
5,0.17287983,0.06685047,0.028729115,-0.0005901611,-0.06949812,0.03885101,0.109338455,0.055261746,0.017857948,-0.053375717,-0.0014909208,0.011272596,0.057275094,0.064538635,0.0075871237,0.047048412,0.03961528,-0.023516243,0.017123193,0.024477117,-0.0586636,0.007410189,0.18968225,0.09032667,-0.069907054,0.008715253,-0.043379065
6,0.15206154,0.13795352,-0.0069054402,0.098807074,-0.1126534,-0.07110798,0.0704083,0.034263983,-0.015254104,-0.015604835,-0.084104754,-0.07026196,0.027703842,0.02193163,0.0038263814,0.13081366,0.0293604,0.012277068,-0.006119583,-0.06496761,-0.09233066,0.026017271,0.060433254,0.10396791,-0.09905744,0.07292125,0.0009767935
7,0.18320063,0.044759233,-0.081600025,0.058347262,-0.07110062,-0.043591186,0.006858602,0.14334048,-0.014053654,0.013540724,-0.07482145,-0.08916107,0.059468415,-0.024448434,0.013006852,0.044531714,0.0024631508,-0.027487734,0.007886045,-0.0010304623,0.033677705,-0.13139908,0.03232822,0.14539447,-0.1319385,0.13363129,-0.0680041
8,0.08284317,0.0728652,-0.07756668,0.052877117,-0.011325724,0.044479296,0.1865716,0.057777207,-0.009572304,-0.01908297,-0.09097727,-0.003742773,0.067056194,0.07195672,0.0840279,0.0397111,-0.0070385737,0.0048979465,0.039373722,-0.07737761,0.16240351,-0.036249828,0.09815583,0.22125721,-0.09705789,0.04475285,0.033771724
9,0.14564125,0.09076068,-0.009588612,0.0663683,-0.08831342,0.060903218,0.0072058802,0.053460464,-0.016271088,-0.02328251,-0.032456607,-0.012576939,0.048161585,0.06125878,-0.040348552,0.12966046,-0.005892272,-0.030350378,0.0035266592,-0.07416987,-0.005598467,0.008284371,0.12378973,0.16821435,-0.032848656,0.10926291,-0.09078449
