,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t)
0,0.0115527315,-0.002488707,0.007500714,0.0020953086,0.051885188,0.039465852,0.021887911,0.025476526,0.010362671,0.00019384734,0.0074958364,0.33042324,0.13895744,0.013646068,0.010335678,0.08227498,-0.01179343,0.014904076,0.02955956,-0.0014350057,0.02900512,0.2088168,0.038953025,0.016641025,0.0044542844,0.010628082,0.005732669,0.018258192,-0.0011930009
1,0.022233857,0.0010214322,0.05182006,-0.004424073,-0.005750878,0.0012012024,0.008412592,0.0020794712,0.0058030183,-0.07015738,-0.20348765,0.05136057,0.17191307,0.096178725,-0.06357399,-0.08321881,-0.1551213,0.09632619,0.034616064,0.018033702,0.01957189,0.047579467,0.010234119,0.29107067,0.19229276,0.09029209,-0.06527987,0.07382769,-0.034255598
2,0.066400856,0.0038978038,0.017055323,0.0097762775,0.016087715,0.083680674,-0.08157969,-0.07646401,4.004447e-06,-0.040289715,-0.021293627,-0.008681646,0.21922615,0.15545896,0.012003338,-0.025401076,-0.091654204,0.2146065,0.13990435,0.0025578942,0.10520296,0.21231079,-0.0004823655,0.08849332,0.00083641475,0.0923101,-0.0324936,0.103771165,-0.1722093
3,-0.033500843,-0.022424774,0.03604614,0.0077446518,0.062719055,0.06526812,0.0056279916,-0.041067336,0.1070601,-0.11499831,0.08107665,-0.01117179,0.05384165,0.11627652,-0.04297693,-0.01632044,-0.19874126,0.19886416,0.19235058,0.12487074,0.0016443748,0.0973571,-0.07699075,0.065879665,-0.045929924,0.08136063,-0.06200327,0.29686606,-0.17515168
4,0.06278673,0.05926936,0.05069386,0.11225751,0.042859077,0.08000233,-0.023687467,0.020648053,0.00011547232,-0.004307563,-0.008897534,-0.03524056,0.03823553,0.07355947,0.12753202,-0.053734213,0.049617726,0.23251516,0.05584507,-0.06895257,0.122165136,0.32906923,-0.19860554,0.016236521,0.17339575,-0.21003906,-0.003989488,0.16434002,-0.042829964
5,-0.04635292,-0.00096340105,0.0038357987,0.07041651,-0.17156443,0.07454928,0.06612351,-0.10151628,0.0035355333,-0.08285633,0.27317223,0.027005758,-0.08395532,0.033506416,-0.015730867,0.10567811,-0.0036515258,0.20918341,0.04719149,-0.028017666,0.24072489,0.09491642,0.075899415,0.069485694,-0.036795586,0.36645466,-0.03231263,0.05885449,0.042762194
6,0.04364111,0.03361294,0.068476416,-0.04877911,-0.044511642,-0.012083095,-0.033124976,0.23084337,0.0048441873,0.10882346,-0.0020874292,0.013241136,0.22016399,0.098805316,0.089092314,0.045961805,0.072129905,0.11902103,-0.08287038,0.15017098,0.33449483,0.07834749,0.005596837,0.33275124,-0.025014393,0.09508292,-0.0843119,0.20883997,0.014912506
7,-0.025699545,-0.015942289,0.14918858,0.09169884,-0.20496346,-0.021132242,0.058619574,-0.15147099,0.0012853842,-0.1497462,0.030276109,0.031001294,0.010436772,0.069054276,-0.01407662,0.11290962,-0.30115896,0.19923256,0.08712708,0.030060396,0.018255137,0.043823875,0.03328063,-0.06985367,-0.16850106,0.15332532,0.03750536,0.22444315,-0.12234809
8,0.18628812,0.017692946,0.032449044,0.0059761168,-0.012059087,0.17834863,-0.17968734,0.13709164,0.06423779,0.0043350663,-0.24792673,-0.07203106,0.035022788,0.045150653,0.1469199,0.11300397,0.082466416,0.0707595,-0.047033954,0.092348374,0.094283424,0.17454511,-0.08532982,0.012553841,0.20130087,-0.2520764,-0.047640838,0.17775047,-0.029790428
9,-0.034770466,-0.07690567,0.0024583696,0.09058981,-0.17693482,0.039606176,0.1484607,-0.10223399,6.2420954e-06,-0.08365479,0.2216823,0.07268989,-0.07559562,0.0072407057,-0.050491974,0.013203722,0.007875863,0.17749806,-0.0036595687,-0.01355163,0.109130464,0.13602673,-0.013703811,-0.12837353,-0.18078366,0.14549339,0.11931161,0.123321466,-0.0835105
