,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x34(t),x35(t),x36(t),x37(t),x38(t),x39(t),x40(t),x41(t),x42(t),x43(t),x44(t),x0(t-1),x1(t-1),x2(t-1),x3(t-1),x4(t-1),x5(t-1),x6(t-1),x7(t-1),x8(t-1),x9(t-1),x10(t-1),x11(t-1),x12(t-1),x13(t-1),x14(t-1),x15(t-1),x16(t-1),x17(t-1),x18(t-1),x19(t-1),x20(t-1),x21(t-1),x22(t-1),x23(t-1),x24(t-1),x25(t-1),x26(t-1),x27(t-1),x28(t-1),x29(t-1),x30(t-1),x31(t-1),x32(t-1),x33(t-1),x34(t-1),x35(t-1),x36(t-1),x37(t-1),x38(t-1),x39(t-1),x40(t-1),x41(t-1),x42(t-1),x43(t-1),x44(t-1),e0(t),e1(t),e2(t),e3(t),e4(t),e5(t),e6(t),e7(t),e8(t),e9(t),e10(t),e11(t),e12(t),e13(t),e14(t),e15(t),e16(t),e17(t),e18(t),e19(t),e20(t),e21(t),e22(t),e23(t),e24(t),e25(t),e26(t),e27(t),e28(t),e29(t),e30(t),e31(t),e32(t),e33(t),e34(t),e35(t),e36(t),e37(t),e38(t),e39(t),e40(t),e41(t),e42(t),e43(t),e44(t)
0,0.13144587,0.017705668,0.09132863,0.003652337,0.0018523373,-0.0035260129,9.3423605e-06,-0.0023597348,-0.005838404,0.06884813,0.03448437,-0.012072362,0.029723138,-0.0018232493,0.021485606,0.006117284,-0.006983329,-0.0016067363,0.022005767,-0.022495603,0.005843177,0.024334753,-0.0045490605,0.034053154,0.017389115,0.04470833,0.009694112,0.015825327,-0.023619533,0.074453,0.02433176,-0.013732137,0.04726274,-0.0067931092,0.0085902475,0.052302785,0.033919092,-0.0056680664,0.011494176,-0.0041799136,0.028260604,0.019895164,0.043237083,0.057216246,0.05688899,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13644587,0.0077056675,0.10132863,0.003652337,0.011852337,0.001473987,9.3423605e-06,0.012640265,0.004161596,0.058848135,0.016984373,0.00042763725,0.04472314,0.0031767506,0.013985606,0.008617284,0.00551667,0.008393263,0.017005766,4.3961786e-06,0.0008431769,0.026834752,0.0004509394,0.014053157,0.017389115,0.02970833,0.002194113,0.0033253287,0.0013804669,0.061953004,0.03183176,0.008767862,0.05226274,0.0007068905,0.0010902475,0.062302787,0.033919092,0.0018319334,0.003994176,0.0008200864,0.035760604,0.029895164,0.038237084,0.057216246,0.05438899
1,0.019705424,0.0056928913,-0.0036101937,0.0010846227,0.030810602,-0.014182702,0.034977153,-0.011133445,0.1175724,0.013952387,0.11024942,-0.0710929,-0.032118995,0.025776023,0.043663632,0.051415335,-0.061871305,0.06609542,-0.020536069,-0.035591833,0.037024647,0.0019501551,-0.036519237,0.092348084,0.056542497,0.047929727,-0.007365832,0.07030053,-0.049494073,0.050013714,0.024873948,-0.05963615,0.15407418,0.011061293,0.01487563,-0.028536832,0.021021856,-0.13984472,0.009089347,0.018268008,-0.034924693,0.0016366467,0.07734088,-0.019970391,0.042995226,0.13144587,0.017705668,0.09132863,0.003652337,0.0018523373,-0.0035260129,9.3423605e-06,-0.0023597348,-0.005838404,0.06884813,0.03448437,-0.012072362,0.029723138,-0.0018232493,0.021485606,0.006117284,-0.006983329,-0.0016067363,0.022005767,-0.022495603,0.005843177,0.024334753,-0.0045490605,0.034053154,0.017389115,0.04470833,0.009694112,0.015825327,-0.023619533,0.074453,0.02433176,-0.013732137,0.04726274,-0.0067931092,0.0085902475,0.052302785,0.033919092,-0.0056680664,0.011494176,-0.0041799136,0.028260604,0.019895164,0.043237083,0.057216246,0.05688899,7.2377334e-06,0.0017574596,0.020947345,8.8359004e-05,0.069240764,0.00259315,0.030000398,0.027854426,0.13971962,0.0029648775,0.03137564,0.047497083,0.0010049673,0.054384146,0.0314196,0.00067242,9.3596274e-05,0.07316589,4.645999e-05,0.019673048,0.00024813265,0.0010956089,0.0049253497,0.04082988,0.004961314,1.2618196e-05,0.006714006,0.0027296038,0.022252202,0.0015944543,0.0022289592,0.015235019,0.19116592,0.023655571,0.0012744052,0.0059832125,0.0015252514,0.015276068,0.0009343098,0.060244024,0.030843846,0.022079125,0.002882418,0.009743248,0.00023916089
2,0.017309021,0.013303025,-0.052619103,-0.020881882,-0.018409263,0.0023652865,-0.08627316,-0.06514792,-0.042387668,0.059054315,-0.008539678,0.06017764,-0.0031024422,0.04045144,0.01667655,-0.007966902,-0.014272848,-0.027873196,0.07562594,-0.06370355,0.039656576,0.13000192,-0.013847742,-0.029824357,0.00019387592,0.056765817,-0.024412517,0.035680987,-0.0061640777,0.0042886212,0.004460413,-0.041643642,-0.02683114,-0.011527315,-0.0010727659,0.036979377,0.052888073,-0.14037766,0.088074416,0.074562564,-0.03480914,0.01674624,-0.024052996,0.054470588,0.05781833,0.019705424,0.0056928913,-0.0036101937,0.0010846227,0.030810602,-0.014182702,0.034977153,-0.011133445,0.1175724,0.013952387,0.11024942,-0.0710929,-0.032118995,0.025776023,0.043663632,0.051415335,-0.061871305,0.06609542,-0.020536069,-0.035591833,0.037024647,0.0019501551,-0.036519237,0.092348084,0.056542497,0.047929727,-0.007365832,0.07030053,-0.049494073,0.050013714,0.024873948,-0.05963615,0.15407418,0.011061293,0.01487563,-0.028536832,0.021021856,-0.13984472,0.009089347,0.018268008,-0.034924693,0.0016366467,0.07734088,-0.019970391,0.042995226,0.01871695,0.0040979288,0.03982329,3.1793345e-05,0.013543517,0.0018561771,0.0007491178,0.0015405742,0.0014728156,0.06364596,0.0014520613,0.15426758,0.0112156775,0.030466245,0.00093434606,0.00061268697,0.018817766,7.3910473e-06,0.06378116,0.03260635,0.0002561695,0.15486334,0.055076983,1.9438987e-05,0.00048415986,0.017078454,0.00057612004,0.02037721,0.048980247,0.000929065,0.017846443,0.003997965,0.0013788841,0.017051324,0.00027794662,0.073381215,0.0003671573,5.862124e-06,0.009410813,0.08306043,0.00097410183,0.02206208,0.0012052311,0.012411144,0.0044129845
3,0.011360468,0.108912274,0.17551652,-0.0005947873,-0.005735758,-0.016447697,0.040960006,-0.03345509,0.01763206,0.033189747,0.08022683,0.015023485,-0.011469511,-0.015700672,0.11441434,0.0018045416,0.04146388,0.04328557,0.14775445,-0.017864399,0.022115,-0.0072437283,0.02813167,0.00067199394,0.010744205,0.101642355,-0.023436429,0.012794185,-0.021584995,0.011139701,-0.03216421,0.02630419,-0.02271469,-0.053810827,0.039361052,0.0025082026,-0.0075607384,-0.059343696,0.014717592,0.041506365,-0.016481781,-0.04147772,0.119501874,-0.015209448,0.0023212428,0.017309021,0.013303025,-0.052619103,-0.020881882,-0.018409263,0.0023652865,-0.08627316,-0.06514792,-0.042387668,0.059054315,-0.008539678,0.06017764,-0.0031024422,0.04045144,0.01667655,-0.007966902,-0.014272848,-0.027873196,0.07562594,-0.06370355,0.039656576,0.13000192,-0.013847742,-0.029824357,0.00019387592,0.056765817,-0.024412517,0.035680987,-0.0061640777,0.0042886212,0.004460413,-0.041643642,-0.02683114,-0.011527315,-0.0010727659,0.036979377,0.052888073,-0.14037766,0.088074416,0.074562564,-0.03480914,0.01674624,-0.024052996,0.054470588,0.05781833,0.011917179,0.10089281,0.15289631,0.05251934,0.0014438297,0.0016339239,0.00030914444,0.008426318,0.024203857,0.00076275045,0.014503763,0.044193413,6.0573235e-05,0.011534622,0.14887665,0.00036825918,0.04203563,0.018405067,0.04748053,0.025240012,0.0082149515,0.00025633915,0.0005224633,0.020299787,0.017354619,0.008284632,0.00017035165,0.03152175,0.012963769,0.025184603,0.007287493,0.04401271,0.051810652,5.0923674e-05,0.0016245684,0.033121318,5.2729315e-06,0.01507414,0.024804246,0.023624329,0.0067762756,0.0073305285,0.0068039424,0.0016211533,1.25011805e-08
4,0.16184554,0.06890868,0.05354508,-0.06632461,0.00853221,-0.051926404,0.054464452,-0.109713554,0.088108614,0.015068855,0.06784057,-0.06320418,-0.099014096,0.010081111,-0.011362422,0.08136509,-0.11623787,-0.003362998,0.037244536,-0.15655991,-0.0015542908,-0.060256034,-0.084446065,0.04095089,0.033867694,0.023104109,0.01564157,0.007356131,-0.08892661,0.21663491,0.017199669,-0.10909195,0.009305763,0.0033278158,0.022391632,-0.026233945,0.2209017,0.02691408,0.06672847,-0.028441884,0.0024053585,0.03015898,0.052568685,-0.113801606,0.046554685,0.011360468,0.108912274,0.17551652,-0.0005947873,-0.005735758,-0.016447697,0.040960006,-0.03345509,0.01763206,0.033189747,0.08022683,0.015023485,-0.011469511,-0.015700672,0.11441434,0.0018045416,0.04146388,0.04328557,0.14775445,-0.017864399,0.022115,-0.0072437283,0.02813167,0.00067199394,0.010744205,0.101642355,-0.023436429,0.012794185,-0.021584995,0.011139701,-0.03216421,0.02630419,-0.02271469,-0.053810827,0.039361052,0.0025082026,-0.0075607384,-0.059343696,0.014717592,0.041506365,-0.016481781,-0.04147772,0.119501874,-0.015209448,0.0023212428,0.12096613,0.088477224,0.039319854,0.0007523462,0.0026736995,0.016265422,0.05071183,0.061484244,0.088637434,0.035418265,0.0046361084,0.025695192,0.0046088505,0.002476388,2.4451043e-05,0.0017307258,0.01201338,0.0039185532,0.07444671,0.0007976524,0.002321193,0.022286473,0.0005814072,0.0005392154,0.09740522,0.014722656,0.00857554,2.4558372e-05,0.00959143,0.008698074,0.00010508259,0.010924845,0.0036595387,0.009840443,0.013994013,0.008505127,0.080048926,0.025996601,0.02403335,0.041022144,0.012518944,0.024227524,3.6800511e-06,0.00038108925,0.0032875568
5,0.013406064,0.0130173685,-0.0029827352,-0.041042414,0.1505909,-0.03383786,-0.05509581,-0.042461116,0.097540095,-0.016338557,0.0021614046,0.050666824,-0.06645562,0.06796506,-0.005575644,0.09043584,0.0767562,0.046822187,0.06179195,0.053989697,0.030367807,0.025536709,-0.03406539,0.0038607093,0.14341818,0.03209273,-0.020857662,0.00873553,0.04305866,-0.0040370896,-0.017677285,-0.2347491,-0.035638392,-0.000104911625,0.031288963,0.006593041,0.12971157,-0.102892116,0.2430155,-0.07442044,-0.071428716,-0.05899662,0.18939625,-0.043897945,0.16583021,0.16184554,0.06890868,0.05354508,-0.06632461,0.00853221,-0.051926404,0.054464452,-0.109713554,0.088108614,0.015068855,0.06784057,-0.06320418,-0.099014096,0.010081111,-0.011362422,0.08136509,-0.11623787,-0.003362998,0.037244536,-0.15655991,-0.0015542908,-0.060256034,-0.084446065,0.04095089,0.033867694,0.023104109,0.01564157,0.007356131,-0.08892661,0.21663491,0.017199669,-0.10909195,0.009305763,0.0033278158,0.022391632,-0.026233945,0.2209017,0.02691408,0.06672847,-0.028441884,0.0024053585,0.03015898,0.052568685,-0.113801606,0.046554685,0.031539492,0.00015602753,0.0059362515,0.0055300156,0.14193341,0.0024954036,0.006457873,0.0044002263,0.033731107,0.06864624,0.0062075933,0.12683335,0.02948563,0.011064255,0.020653337,0.04036727,0.12537344,0.00048075343,0.0067811394,0.099527396,0.0035488664,3.2924992e-05,0.040327705,0.011226867,0.0012797397,0.0035994826,0.07858868,0.0055062887,0.011260398,0.060679555,0.008990244,0.00033200567,0.02182767,0.0048074108,0.011993404,0.02674493,0.0026773384,0.059950367,0.049810544,0.0039954763,0.0061708675,0.005463054,0.017611798,0.034969483,0.002490682
6,-0.06835845,0.024368118,-0.04464062,-0.0646065,-0.03037531,-0.087414466,0.031168984,-0.026944436,-0.09714584,0.012927763,0.007598364,-0.06714724,-0.031037074,0.049375284,-0.026768565,0.20870847,-0.044663988,0.02351275,0.15176077,-0.020775598,0.014315235,0.009261241,-0.048498474,0.077848874,0.11290985,0.16199578,0.056356005,0.06491613,-0.009111654,-0.061023343,0.019579634,-0.28446618,-0.13371412,0.0055361856,0.14061707,0.10552304,0.18179435,-0.17066067,0.2129937,0.04444532,-0.09586142,-0.047368746,0.07597657,0.07244737,0.08084889,0.013406064,0.0130173685,-0.0029827352,-0.041042414,0.1505909,-0.03383786,-0.05509581,-0.042461116,0.097540095,-0.016338557,0.0021614046,0.050666824,-0.06645562,0.06796506,-0.005575644,0.09043584,0.0767562,0.046822187,0.06179195,0.053989697,0.030367807,0.025536709,-0.03406539,0.0038607093,0.14341818,0.03209273,-0.020857662,0.00873553,0.04305866,-0.0040370896,-0.017677285,-0.2347491,-0.035638392,-0.000104911625,0.031288963,0.006593041,0.12971157,-0.102892116,0.2430155,-0.07442044,-0.071428716,-0.05899662,0.18939625,-0.043897945,0.16583021,0.008532831,0.0008144191,0.012835634,0.0036340165,0.0016593377,6.696705e-06,0.03529876,0.0022444178,0.0043994193,0.021389967,0.0017451767,0.0024691753,0.013279413,0.027426312,0.022181328,0.08481311,0.0019229917,5.0297012e-06,0.000378187,0.017866999,0.0011788657,0.0050203353,0.06673503,0.016112976,0.033278983,0.02666709,0.024140527,0.0184088,0.051507816,0.013113949,0.0032457714,0.0092818625,0.052957017,0.018063249,0.0012981837,0.112730764,0.011445129,0.0001497563,0.078323245,0.0005253935,0.012951562,0.017832924,0.012085492,0.08696927,0.003707557
7,0.07555757,0.21855485,0.25866944,-0.19543149,0.0007001702,-0.11435826,0.10346042,-0.008036282,-0.026512444,0.010497724,0.2798834,-0.04549676,0.10258279,-0.021430653,-0.1773411,0.14674234,-0.027777225,-0.0102241,0.2001085,0.012460567,0.17059828,0.09640281,0.08404631,0.035842583,0.09353178,0.26344162,0.010241791,-0.017883146,-0.13560857,0.0068680854,-0.060680006,-0.22910894,0.018860292,-0.08752748,0.23331499,-0.0840553,0.041039616,-0.39645672,0.02190891,-0.0788224,-0.12734191,-0.08164883,0.2568294,0.06684313,0.048427016,-0.06835845,0.024368118,-0.04464062,-0.0646065,-0.03037531,-0.087414466,0.031168984,-0.026944436,-0.09714584,0.012927763,0.007598364,-0.06714724,-0.031037074,0.049375284,-0.026768565,0.20870847,-0.044663988,0.02351275,0.15176077,-0.020775598,0.014315235,0.009261241,-0.048498474,0.077848874,0.11290985,0.16199578,0.056356005,0.06491613,-0.009111654,-0.061023343,0.019579634,-0.28446618,-0.13371412,0.0055361856,0.14061707,0.10552304,0.18179435,-0.17066067,0.2129937,0.04444532,-0.09586142,-0.047368746,0.07597657,0.07244737,0.08084889,0.006795306,0.16568922,0.17662472,0.07887371,0.012439331,0.010819438,0.000379674,0.058259,0.0059025763,0.019339321,0.036723163,0.04046935,0.020591669,0.014793032,0.010752117,0.1603518,0.044949375,0.003951322,0.00021369818,0.08688699,0.14770433,0.015634613,0.15705822,0.07278138,0.0010561693,0.056707166,0.011248448,0.02071896,0.043878984,0.0055082296,0.00032402,0.013408682,0.001962174,0.006108391,0.03059949,0.006732411,0.0008638989,0.0013043999,0.019243985,0.01927196,0.00025432915,0.08111045,0.032140583,0.049305048,0.002188504
8,-0.047756433,0.00879102,0.0055464655,-0.25281176,0.055406235,-0.010846052,0.024014154,-0.15063763,0.011032153,0.055117875,0.10153777,-0.23923314,-0.026032696,-0.0047954787,-0.05991181,0.3898716,-0.11690974,-0.09052383,0.09097859,0.070639454,-0.004446377,-0.051425755,-0.22345161,0.1806683,0.072552614,0.060953304,0.030917916,-0.042820893,-0.3056132,0.28204232,-0.09565731,-0.040315904,-0.040418338,-0.07068593,0.09701984,-0.10070917,0.27622837,-0.33796653,0.11356588,-0.16199583,-0.16704018,0.043420017,0.23499787,-0.121563114,0.15210238,0.07555757,0.21855485,0.25866944,-0.19543149,0.0007001702,-0.11435826,0.10346042,-0.008036282,-0.026512444,0.010497724,0.2798834,-0.04549676,0.10258279,-0.021430653,-0.1773411,0.14674234,-0.027777225,-0.0102241,0.2001085,0.012460567,0.17059828,0.09640281,0.08404631,0.035842583,0.09353178,0.26344162,0.010241791,-0.017883146,-0.13560857,0.0068680854,-0.060680006,-0.22910894,0.018860292,-0.08752748,0.23331499,-0.0840553,0.041039616,-0.39645672,0.02190891,-0.0788224,-0.12734191,-0.08164883,0.2568294,0.06684313,0.048427016,0.0049095172,0.014385452,0.015326696,0.011061058,0.018268699,0.050674945,2.2736132e-05,0.0006877845,0.058694527,0.010934614,0.011590414,0.017181281,0.0035448694,0.028626086,0.028556727,0.0007365985,0.034243897,0.008014229,0.03553396,0.003174797,0.00018471373,0.026106289,0.01530655,0.09518609,0.014381932,0.009401819,0.01724509,0.0023352634,0.0007125334,0.20447326,0.0015303744,0.0441328,0.04887094,0.0026868952,0.007338047,0.0006716385,0.0026810227,0.0003185222,0.024067461,0.00043658214,0.04340862,0.026581233,0.027791675,0.00323843,0.013363697
9,0.10669175,0.027377687,0.08875205,-0.27058023,0.08885132,0.043166943,0.008180521,-0.03245456,0.021132385,-0.09126784,0.048932545,-0.11575686,-0.09186324,0.07573031,-0.16078882,0.2302657,0.0007540118,0.03994026,0.26205358,0.22076477,0.13139111,0.20428762,-0.1320529,-0.1313501,0.43904823,0.1329555,-0.08329543,0.2144197,-0.07229498,-0.1898895,-0.100397795,-0.32653633,-0.10292548,-0.1245854,0.21254928,0.07685251,0.2671672,-0.5164222,0.090723485,-0.06597657,-0.00066275615,-0.096546404,0.1715276,-0.16013701,0.20154524,-0.047756433,0.00879102,0.0055464655,-0.25281176,0.055406235,-0.010846052,0.024014154,-0.15063763,0.011032153,0.055117875,0.10153777,-0.23923314,-0.026032696,-0.0047954787,-0.05991181,0.3898716,-0.11690974,-0.09052383,0.09097859,0.070639454,-0.004446377,-0.051425755,-0.22345161,0.1806683,0.072552614,0.060953304,0.030917916,-0.042820893,-0.3056132,0.28204232,-0.09565731,-0.040315904,-0.040418338,-0.07068593,0.09701984,-0.10070917,0.27622837,-0.33796653,0.11356588,-0.16199583,-0.16704018,0.043420017,0.23499787,-0.121563114,0.15210238,0.022547161,0.014316468,0.096246004,0.03460534,0.04224371,0.12715574,0.04875291,0.033847716,0.0018763121,0.009763852,0.016666954,0.003625346,0.0054321187,0.014948749,0.0047823805,0.0048931562,0.024111195,0.02858265,0.010189888,0.14335155,0.0012820748,0.030781247,0.024024878,0.0056194696,0.06378328,0.001355987,0.01048508,0.021190016,0.07983068,0.017019302,0.005107142,0.009865701,0.048852578,0.04830932,0.11051884,0.059500504,0.0015703406,0.007899848,0.00036518398,0.008421308,0.008514388,0.06853371,0.0021472345,0.0088455165,0.010175632
