,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x34(t),x35(t),x36(t),x37(t),x38(t),x39(t),x40(t),x41(t),x42(t),x43(t),x44(t),x45(t),x46(t),x47(t),x48(t),x49(t)
0,0.019824069,0.009689945,0.015496573,0.012571987,-0.0038831332,-0.0028533773,-0.0018882512,-0.0052798567,0.010614864,0.13038206,0.011352429,0.0049985726,-0.0024897482,0.08096007,0.053384002,0.11512624,0.03243555,0.03186945,0.036824632,0.0024673152,0.011765748,0.043878544,0.03420513,0.053163,0.0058938274,0.033988424,0.010343842,0.015442547,0.027867055,-0.0034347796,-0.008945124,0.010250198,0.04054302,0.02048164,0.075958624,0.0060055535,0.061294302,0.0862463,0.030993018,0.009517034,0.006961674,0.0045562247,0.018652547,0.059547093,0.05201245,0.0030320103,0.0105832135,0.009299562,0.010000462,0.049863912
1,-0.006015945,0.09710626,0.01089829,0.005671246,0.024548098,0.10915811,-0.081627235,0.0041509233,0.08009022,0.01670336,0.20070705,0.0065172785,0.03572655,0.039414614,0.041270375,0.1189626,0.18170886,0.016316257,0.07402855,0.07943985,-0.0019643726,0.0013153288,0.0027288902,0.052810192,0.09435214,0.0069111036,0.0009942346,0.1576018,0.012765117,0.026177313,-0.003567182,0.0235507,0.004633153,0.08022505,0.05348266,0.010459347,0.047569845,0.027102433,0.0014286884,-0.07864097,0.027071252,0.05849081,-0.015889594,0.05594929,-0.09341802,0.13451713,0.026746843,0.0007553209,0.007743947,0.100194335
2,0.09320169,0.018027784,0.06124095,0.053029772,0.018695686,-0.062071487,0.0049067745,0.0038472572,-0.020476308,0.10246506,0.084233485,0.0008076879,0.0620194,0.03544649,0.02619955,0.05580198,-0.061547764,0.0027459739,-0.01929879,0.12100178,-0.00013584469,-0.005005234,0.020407667,0.019645387,0.034331635,0.047034603,-0.009406065,0.034341265,-0.0009555295,0.04036821,0.005816802,0.13121378,0.00022414699,0.08607403,-0.011165854,-0.057035767,0.09573789,0.02088179,-0.010321619,-0.07314384,0.029304346,0.08317879,-0.09107602,0.14178835,-0.047851566,0.29231858,0.0960814,0.0008666166,0.036425132,0.044734918
3,0.056322433,0.019715564,0.04354317,0.06335255,-0.094175,0.023320438,-0.042043164,-0.04715833,0.09829723,0.031405564,0.05784864,0.005924469,-0.042151928,-0.0031397007,0.073466726,0.038291045,-0.11549426,0.008640658,0.033088278,-0.021375652,0.016766943,-0.026017616,0.15183112,-0.015709378,-0.058120213,0.059364617,-0.048840676,-0.009083104,0.000651408,0.043469492,0.038491406,0.018559868,-0.020358594,0.034807727,0.05661178,0.054137092,0.037105005,0.066261105,-0.003404308,-0.00678616,0.040298156,0.03667601,0.061775625,0.17669766,0.06360683,0.047089465,-0.03731147,-0.007671376,-0.0010566041,-0.009621361
4,0.03228838,-0.023263818,0.026305579,0.05278626,-0.019735636,0.18150496,-0.044713546,0.054355815,0.11932139,0.021790728,0.068801485,0.0028722736,0.05515374,0.14855115,0.0695547,-0.026980024,-0.040267542,0.010869689,0.029369287,0.010869479,0.045621283,-0.02111687,0.058839645,-0.04645296,0.10784974,-0.017473256,0.07818557,0.064156935,-0.0024757995,0.025768762,0.03978006,-0.070827745,-0.02905937,0.11700095,0.2233327,-0.08944126,0.04839667,0.13828829,0.08117506,-0.012776412,0.036760435,0.10362917,0.04427212,0.012564171,-0.0112917945,0.07117672,-0.07417756,-0.022880636,0.00900471,0.073877476
5,0.03834083,0.039456975,0.09119457,0.019852242,0.045942634,-0.080855615,-0.063318014,0.0891493,0.09168636,0.055637717,0.0022829715,0.035269927,0.0013341662,0.036939047,0.098189205,0.012188921,-0.08348978,0.016692141,0.05484714,0.020589711,-0.00016337074,0.03108598,0.084477246,-0.011432042,0.17827119,0.12602055,0.060568653,-0.0036218723,-0.032577537,0.03841854,-0.041724376,-0.03143669,-0.017504122,0.10485855,0.28144482,0.08870958,0.073787786,0.06607808,-0.002435415,0.016078698,0.059086017,0.053428724,0.06443997,0.062289193,0.036185242,0.13953176,-0.020073192,-0.0030060783,0.10027684,0.12116799
6,0.05606427,0.041021593,0.06300535,0.067545354,0.0020048954,0.0805292,-0.05423016,-0.062405255,0.029179275,0.08970328,0.063458346,0.02305483,-0.06315133,0.101743534,0.03669381,0.01697502,0.046035577,0.06407185,0.011306569,-0.014805013,-0.0058321077,-0.026735933,0.008151967,-0.017705265,0.2348954,0.08778726,0.029956251,0.10246643,-0.01536566,0.008266997,-0.03980342,-0.006785579,0.033031866,0.15343921,0.10442304,0.023973327,0.05508226,0.04567671,-0.008305885,-0.015032339,0.032931726,-0.0072425213,-0.0034184242,0.054434363,0.019123385,0.076413706,-0.068383396,0.01176109,-0.032379754,0.24184234
7,0.023756806,0.016692065,0.022561848,0.13028467,-0.027435813,0.008444097,-0.07105106,0.0019120036,0.060233578,0.04477276,0.079077765,0.001382785,0.051536217,0.030475272,0.060990177,-0.009540124,0.0014568456,0.034270406,0.009147753,0.022153864,0.07063537,-0.028454699,0.15204996,0.0275927,0.06849402,-0.016810875,0.044446554,-0.0152465375,-0.0008490463,0.015053187,0.0035613345,0.014448306,0.03783288,0.0543743,0.0689671,-0.022592828,0.047694802,0.07756605,0.05674886,-0.017325165,0.004681984,0.059515715,-0.04172271,0.00015999132,-0.049468093,0.09568073,0.00680406,-0.016959686,0.033973325,0.077156365
8,0.09272193,0.0409254,0.033371676,0.0128351785,-0.00047896057,0.033651866,-0.03276392,-0.025330402,0.048664857,0.011390182,0.012393084,0.005527076,-0.049750935,0.08622021,0.19698009,0.030440256,-0.01274095,0.001835764,0.06817628,-0.0196691,-0.0030366061,-0.009647274,0.0012866479,-0.018802263,0.14459789,0.061059542,0.04633757,0.028168757,0.13411634,-0.10235875,0.00747576,-0.008036065,0.064385116,0.07040952,0.011478668,0.03486879,-0.0027363414,0.15531473,-0.010798411,0.090210155,0.036306143,0.022203628,0.032356728,0.16013665,-0.024328355,0.09661627,-0.00020242517,-0.029714586,0.0047825705,0.06851004
9,0.110013425,0.0704173,0.022130702,0.009353001,0.0040933513,-0.011686461,-0.033132005,0.051730048,0.05733137,0.026669705,0.06749213,0.117026195,0.09479422,0.051624242,0.010777559,0.012178315,-0.059950523,0.0024760766,0.077323824,0.08142469,0.0022225855,-0.008584647,0.05705884,0.019765195,-0.0015934925,0.08520969,0.028033696,0.17740542,-0.094799854,-0.0036747344,-0.017186683,-0.025060887,-0.016947418,0.088417165,0.17167903,0.020827787,0.023472782,0.09753526,0.032879703,-0.09103357,0.04367729,0.024557251,-0.022086076,0.11502321,-0.03551672,0.18896663,-0.0029336885,0.021162398,0.09389204,0.047573604
