,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t)
0,0.05176288,0.017583236,-0.0049568512,0.012564894,0.011037532,0.023933163,0.004592481,0.0105550075,0.001842858,0.006926991,-0.00705879,0.000505873,0.018649809,0.07631135,0.0024527283,0.0027006094,0.018523235,-0.008989805,-0.0030102024,0.031621058,0.029050026,0.028084883,0.028419163,0.027299842,0.03666832
1,0.09396962,-0.0030173417,0.0138072595,0.016680699,0.04057552,-0.007836028,0.015244875,0.037466146,0.020338839,0.01509818,0.022499742,0.0891529,0.05181972,-0.0017523854,-0.01915186,0.028477764,0.16082178,-0.036937032,0.13305047,0.057101175,-0.016983025,0.029844377,0.03717293,0.024216902,-0.016067019
2,0.0038997135,0.089499794,0.07976247,0.22264485,0.051396098,0.078228444,0.04590371,0.15192848,0.0059883045,-0.09593344,-0.068968885,0.006710208,0.07901264,-0.03487224,-0.024752686,0.061194673,0.10292195,0.082132995,-0.015572045,0.039511424,-0.13371012,0.028489437,0.05288186,0.022508636,-0.040534496
3,-0.0593198,0.020462275,0.038552266,-0.017301235,0.022657579,0.055093717,0.01310367,-0.01381683,0.05796931,0.09810805,-0.05915993,0.039296538,0.18101022,0.08391501,-0.05554192,0.05157804,0.11923656,0.04505489,-0.023940643,0.22133335,0.017997839,0.028626729,0.093815774,-0.0118353125,0.028350146
4,0.115255736,0.06926641,-0.053217754,0.12557095,0.032301113,0.061887242,0.1266763,0.009801125,0.046190903,-0.0033842223,-0.09929265,-0.13285069,0.0563452,-0.0065051354,-0.089554794,0.08391549,0.0005089983,-0.091995634,-0.025338905,0.075002074,-0.098411724,0.13404961,0.031835727,0.12987682,0.06927385
5,-0.017172998,-0.091247566,0.06999123,-0.019751824,0.0652549,-0.06472556,0.12626186,-0.05373114,0.08922531,-0.019305618,-0.013786331,0.12917988,0.11053302,0.00922012,0.16129804,0.065669015,0.03008087,-0.058493685,0.2355759,0.22495234,0.07052618,-0.12941067,0.18447398,0.0039171875,-0.016700547
6,0.117919296,0.16341892,0.08296381,0.0832261,0.049715128,0.11495169,0.040679723,0.22640394,0.067569524,0.068503276,0.10546912,0.07971547,-0.084847964,0.10421573,-0.007595273,0.07092727,0.017291026,-0.055823527,0.13881837,0.1474114,-0.10426241,0.053956594,0.06561067,0.085918546,-0.049309418
7,0.117475346,0.11026626,-0.03463998,0.23465177,0.25052992,0.05246957,-0.005282446,0.060308482,0.023536913,0.045241997,-0.05905531,0.026680442,0.03952041,0.06543338,-0.06347334,0.009495171,0.19287454,-0.09235849,0.11414002,0.16515079,-0.3318743,0.09542492,0.13961554,0.002713576,0.072116345
8,-0.007169079,-0.026440639,0.11513731,0.12026365,0.07599873,0.021200033,0.12802963,0.074551515,0.021719992,0.04380402,-0.13895333,0.1343632,0.28084564,0.005829412,-0.07685849,0.0059299134,0.15588276,-0.042571682,0.13952072,0.33451048,-0.091159284,-0.09932492,0.27153963,0.058695868,-0.119809404
9,-0.016526865,0.12079128,-0.011082495,0.10478089,0.08356327,0.04023758,0.1639038,0.17276758,-0.029702924,0.020402249,-0.06057267,-0.030092858,0.11023649,0.006610077,-0.10711807,0.123869866,0.055688716,0.02388062,0.09705176,0.14312008,-0.0750168,-0.08156636,0.16580652,-0.015443566,0.04656519
10,-0.031291343,0.10669355,-0.07765569,0.082292706,0.15874445,0.04370348,0.009851916,0.0559825,0.0656739,0.11916768,-0.07452416,0.037015155,0.1300035,0.0057495246,-0.044127174,-0.031440645,0.045640226,0.0074445615,0.1256348,0.19083428,-0.040955335,0.0039805686,0.2110588,0.04685691,-0.014619075
11,0.06657519,0.0019402548,-0.12590544,0.12683477,0.052378975,-0.03829042,0.07400295,-0.014177949,-0.1197495,0.15589164,-0.14471786,-0.04239905,0.19077036,0.0019594124,-0.08648156,-0.018262329,0.05714927,-0.11353904,0.058866397,0.17150167,0.11667706,0.028083801,0.15286018,0.1514303,0.020960756
12,0.04649749,-0.024604414,-0.0452127,0.09892901,0.03407219,-0.14180571,0.1504615,-0.038843986,-0.00047531724,0.024368502,-0.043566007,-0.049217515,0.1461814,-0.049715802,0.15459861,0.027841225,0.016597006,-0.08534343,0.24697733,0.16401303,0.12323212,0.05651775,0.33048722,0.103239626,0.11082269
13,0.092371225,-0.038828854,0.045493625,0.04929553,0.06212777,-0.05775151,0.20573825,0.105025865,0.025426924,0.08824348,0.07471241,-0.02013838,0.066400275,0.18521081,0.15092343,0.02917813,0.021161295,-0.27130568,0.15582758,0.4394496,0.059875682,0.006407395,0.116258144,0.25508267,-0.07868255
14,0.146202,0.002228569,0.022621293,0.2825625,0.11408703,-0.04078,0.15071669,0.08192687,-0.11119695,0.003483206,0.12140037,0.025386576,-0.21277304,0.075874,0.090519026,0.11183941,0.029382415,-0.35132632,0.3894149,0.22905877,-0.24020156,-0.11877978,0.23050655,0.040692132,0.09620081
15,0.048260257,0.1280041,0.100220114,0.2576356,0.10491573,-0.0023058094,-0.024202807,0.26093036,0.023484036,-0.10618835,0.22504835,0.27539766,-0.012075134,0.15211679,0.12891057,0.060702197,0.13647899,-0.043273628,0.35058114,0.4222647,-0.26794884,-0.2419392,0.19680776,-0.121793024,-0.096331425
16,0.012042669,0.28908452,0.013670218,0.33610904,0.22170486,0.15701228,-0.11245704,0.32829475,-0.07492775,0.049741995,0.15658773,-0.04909184,-0.06668358,0.205331,-0.24342634,0.11667934,0.22797196,-0.07091825,-0.11844201,0.15023501,-0.63078254,0.0025783367,-0.016500104,-0.13549566,-0.12953436
17,-0.060699154,0.15634625,-0.13092935,0.33372948,0.1433908,0.18614265,0.005600932,-0.1465513,-0.068471305,-0.055720225,-0.16542684,0.21971616,0.2429733,0.058382772,-0.2910156,0.12901674,0.16310923,0.13040479,0.14258033,0.1447924,-0.34431568,-0.11204167,0.2636475,0.03876053,-0.02100073
18,-0.13811074,0.26227683,0.0099364,0.030598046,0.18451838,-0.011783218,0.16494599,0.022731986,0.11601968,0.14734462,-0.018235013,0.05339459,0.34915733,-0.012305542,-0.15553549,0.20643917,0.21401615,0.1782211,-0.08133256,0.21365127,-0.15664735,-0.06564645,0.13614011,-0.095799156,-0.10566893
19,0.06314072,0.19227332,-0.26899472,0.23467809,0.15009463,0.13246788,0.11661142,-0.110805124,-0.027916914,0.088113874,-0.3835393,-0.03447705,0.31187946,0.17953959,-0.2237143,0.21454309,0.09065737,0.024899982,-0.12907259,0.16432287,-0.19416858,0.23195954,0.11878247,0.15712433,0.20461479
20,-0.037319317,-0.0077209175,-0.1035197,-0.04913944,0.08024367,-0.10948332,0.24918285,-0.19701728,0.24058121,0.030597676,-0.16987005,0.060999267,0.36154926,0.04699216,0.06694908,0.14483126,0.110558726,0.15243895,0.17124009,0.36891177,0.045144826,-0.13532916,0.325567,0.031865984,-0.062565655
21,0.062499024,0.17070876,-0.02740812,0.12675984,0.12437609,0.026587944,0.05665528,0.09808943,-0.017805561,0.10777883,-0.08152117,-0.15669768,0.13218786,-0.025749667,-0.14748278,0.28624687,0.09615299,-0.07399716,-0.11152197,0.21938697,-0.037359964,0.17539465,-0.016220571,0.09324649,-0.1046034
22,-0.0060575604,0.038527418,-0.10790215,0.13119729,0.07645104,0.111565724,0.24184081,-0.07041833,0.040476754,-0.14895926,-0.2510702,-0.0038219783,0.19472279,-0.0100022275,0.09458286,0.2379113,0.06410299,-0.04457332,0.2386006,0.21534143,-0.018661175,0.013573229,0.2508687,0.06126339,0.075914405
23,0.037628736,0.11655468,0.058524404,-0.029084349,0.059997886,0.008837208,0.18008761,0.14243735,0.13282394,-0.028552765,0.08122925,0.07160385,0.03534227,0.18497053,0.059715677,0.18930256,0.18615629,0.039906003,0.17454942,0.39255497,0.06403015,-0.0047176313,0.1090959,-0.15183564,-0.15675983
