,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x0(t-1),x1(t-1),x2(t-1),x3(t-1),x4(t-1),x5(t-1),x6(t-1),x7(t-1),x8(t-1),x9(t-1),x10(t-1),x11(t-1),x12(t-1),x13(t-1),x14(t-1),x15(t-1),x16(t-1),x17(t-1),x18(t-1),x19(t-1),x20(t-1),x21(t-1),x22(t-1),x23(t-1),x24(t-1),x25(t-1),x26(t-1),x27(t-1),x28(t-1),x29(t-1),x30(t-1),x31(t-1),x32(t-1),x33(t-1),e0(t),e1(t),e2(t),e3(t),e4(t),e5(t),e6(t),e7(t),e8(t),e9(t),e10(t),e11(t),e12(t),e13(t),e14(t),e15(t),e16(t),e17(t),e18(t),e19(t),e20(t),e21(t),e22(t),e23(t),e24(t),e25(t),e26(t),e27(t),e28(t),e29(t),e30(t),e31(t),e32(t),e33(t)
0,0.03749843,0.012457611,-0.0031217067,0.047136273,0.040785007,0.011953173,0.05882617,0.017918654,-0.010953691,0.046207752,0.037161265,0.014421161,-0.0049777417,0.0075,0.022517473,-0.0034431245,0.0025035925,0.0035216212,0.028357822,0.11668489,0.007583692,0.07134621,0.0023168297,0.0033008945,0.012564988,-0.0075600157,0.010678828,0.03399114,0.022443414,0.011301741,0.04674212,0.012549711,0.10990421,0.029724203,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02749843,0.007457611,0.006878293,0.042136274,0.03578501,0.006953173,0.05132617,0.022918653,0.004046309,0.041207753,0.044661265,0.014421161,2.2258024e-05,5.2002257e-12,0.027517471,0.0015568754,3.5925057e-06,0.008521621,0.04085782,0.10918489,8.369216e-05,0.07634621,0.014816829,0.0033008945,0.017564988,0.002439984,0.005678828,0.026491141,0.029943414,0.008801741,0.03424212,0.007549712,0.11740421,0.034724202
1,0.026162433,0.026628029,-0.0380299,0.044553146,0.03317836,0.05415568,-0.001131924,0.0016949465,-0.012721335,0.04754153,-0.006358525,-0.025339045,0.011171322,0.07874757,0.047503356,-0.05576529,-0.045888744,-0.02851015,0.11637058,0.05909364,0.093649656,0.057242703,-0.101437695,-0.03661597,0.011809302,-0.017587604,0.09505953,0.04523597,0.04269118,0.045108005,0.09373915,0.05573661,-0.014465747,-0.0046555176,0.03749843,0.012457611,-0.0031217067,0.047136273,0.040785007,0.011953173,0.05882617,0.017918654,-0.010953691,0.046207752,0.037161265,0.014421161,-0.0049777417,0.0075,0.022517473,-0.0034431245,0.0025035925,0.0035216212,0.028357822,0.11668489,0.007583692,0.07134621,0.0023168297,0.0033008945,0.012564988,-0.0075600157,0.010678828,0.03399114,0.022443414,0.011301741,0.04674212,0.012549711,0.10990421,0.029724203,0.0016329582,0.00963246,0.00020325814,0.03161129,0.013155683,0.0133655025,0.0018550501,0.0034557572,0.009490275,0.09224424,1.6084101e-05,0.0028816327,0.012329737,0.06569992,0.054035068,0.005368191,0.0024767148,1.079647e-06,0.16734731,0.012896715,0.0734272,0.006170827,0.01205673,1.0485697e-05,0.0011924105,0.02178775,0.027368093,0.04147976,0.017678643,1.5194578e-05,0.048660103,0.015517363,0.004089508,0.032203667
2,0.034037735,0.022726757,-0.03020851,-0.027270773,0.09182696,0.0888318,0.0227063,0.0143479835,-0.06605491,0.008326283,0.020012863,0.052164152,0.06565133,-0.021421062,0.019289056,0.074416354,0.22407857,-0.0004976555,0.038092308,0.12225327,-0.071498506,0.12861572,0.009623909,0.018913075,0.07303237,0.016456183,0.052656732,-0.0023269425,-0.035972316,0.044108797,0.029144995,0.08470024,0.01730898,0.1288512,0.026162433,0.026628029,-0.0380299,0.044553146,0.03317836,0.05415568,-0.001131924,0.0016949465,-0.012721335,0.04754153,-0.006358525,-0.025339045,0.011171322,0.07874757,0.047503356,-0.05576529,-0.045888744,-0.02851015,0.11637058,0.05909364,0.093649656,0.057242703,-0.101437695,-0.03661597,0.011809302,-0.017587604,0.09505953,0.04523597,0.04269118,0.045108005,0.09373915,0.05573661,-0.014465747,-0.0046555176,0.037887007,0.00010877371,0.014333308,0.000495488,0.078460194,0.00054664735,0.008896581,9.290904e-05,0.0003382428,0.021962862,0.016097905,0.004280152,0.014932482,0.028228534,0.0077195754,0.008818075,0.19473697,0.0057551167,0.11643494,0.008021619,0.027148426,0.05265425,0.008516715,0.0076428265,0.0012425092,0.033703722,0.050248332,0.0033761025,8.096573e-05,0.00909951,0.0069578863,0.0024139318,0.00057356706,0.17222166
3,0.031425495,0.05181617,-0.005916111,0.04579271,0.083786055,-0.002563687,-0.005680478,0.027310325,0.01211991,-0.045882873,-0.09661565,-0.02867721,-0.0008021351,0.07683081,0.015578793,-0.0877462,0.04459722,0.034850024,-0.0292384,0.028517395,0.10206585,0.09720017,-0.032851413,-0.04464238,-0.122159466,0.028021019,0.007694329,0.019970758,-0.050715987,0.072744355,0.08903517,0.025086764,0.06580963,0.05776169,0.034037735,0.022726757,-0.03020851,-0.027270773,0.09182696,0.0888318,0.0227063,0.0143479835,-0.06605491,0.008326283,0.020012863,0.052164152,0.06565133,-0.021421062,0.019289056,0.074416354,0.22407857,-0.0004976555,0.038092308,0.12225327,-0.071498506,0.12861572,0.009623909,0.018913075,0.07303237,0.016456183,0.052656732,-0.0023269425,-0.035972316,0.044108797,0.029144995,0.08470024,0.01730898,0.1288512,0.012041043,0.05297964,0.07308199,0.0018296065,0.09663604,0.0008983296,0.004697145,0.027061498,0.0054741106,0.008772164,0.01490061,0.0015280065,0.0040098196,0.0006677765,0.013844127,0.05137552,0.076988734,0.048305757,0.009685165,0.014718126,0.051304486,0.03414602,0.0031083666,0.00488913,0.024456337,0.032250434,9.393884e-05,0.01775833,2.327492e-05,0.0019522755,0.046438824,0.011890527,0.08604551,0.0010988691
4,0.035539538,0.013579431,-0.071426496,0.031283747,-0.034750268,0.02874274,0.13704878,-0.013923429,-0.055039264,0.028961742,-0.05637834,0.029179422,0.058829233,-0.021184199,0.06257425,-0.028227191,-0.042844296,-0.034661956,-0.022344923,0.07869816,0.07131462,0.027371658,-0.099989995,-0.014915921,-0.034033924,-0.035298996,0.076845914,0.008707449,0.060063638,0.122727156,0.07461874,-0.015985385,0.14298216,0.045297228,0.031425495,0.05181617,-0.005916111,0.04579271,0.083786055,-0.002563687,-0.005680478,0.027310325,0.01211991,-0.045882873,-0.09661565,-0.02867721,-0.0008021351,0.07683081,0.015578793,-0.0877462,0.04459722,0.034850024,-0.0292384,0.028517395,0.10206585,0.09720017,-0.032851413,-0.04464238,-0.122159466,0.028021019,0.007694329,0.019970758,-0.050715987,0.072744355,0.08903517,0.025086764,0.06580963,0.05776169,0.007447661,0.0035940523,0.0019719277,0.015057063,0.009534563,0.003166059,0.08620106,0.0035015831,0.0011519351,0.00046127068,0.003236902,0.0071104374,0.042403527,0.01103112,0.017439917,0.025904212,0.0011146341,0.012608962,0.020622397,0.031983804,0.0010951508,0.0015551054,0.006361754,0.0015327927,0.016689392,0.0628734,0.044296447,0.045515507,0.0027691764,0.01665596,0.028416019,0.03571841,0.12152845,0.029052358
5,0.06952373,0.067378744,0.04003342,0.13067642,0.00050637126,0.1800467,-0.0076338835,0.021840837,0.05246195,-0.029376186,0.01570192,0.027412277,0.06061185,0.11634671,-0.112929225,0.081107825,-0.10753166,-0.0022836514,-0.043580927,0.12836604,0.016491171,0.092978664,-0.07768822,0.06284746,0.1069636,-0.1445828,0.11674324,0.02991885,0.03343349,0.02760065,0.05478021,0.016326316,0.00010213582,-0.008992739,0.035539538,0.013579431,-0.071426496,0.031283747,-0.034750268,0.02874274,0.13704878,-0.013923429,-0.055039264,0.028961742,-0.05637834,0.029179422,0.058829233,-0.021184199,0.06257425,-0.028227191,-0.042844296,-0.034661956,-0.022344923,0.07869816,0.07131462,0.027371658,-0.099989995,-0.014915921,-0.034033924,-0.035298996,0.076845914,0.008707449,0.060063638,0.122727156,0.07461874,-0.015985385,0.14298216,0.045297228,0.082209356,0.06302502,0.0999914,0.0074693244,0.036071334,0.13498986,0.022466056,0.004509859,3.642014e-05,0.0075135306,0.007566485,0.014965714,0.010616852,0.14441569,0.0023849173,0.033644527,0.011636113,0.014713775,0.030846583,0.035246283,0.009256187,0.034656,0.02147445,0.004319937,0.03283844,0.013580167,0.034564376,0.0017270339,0.0018753008,0.0025261713,0.0069318335,0.04044453,0.005609337,0.040465422
6,0.05759711,0.12466457,-0.01929008,0.0077354815,0.0039214976,-0.05994383,0.060381196,0.0034495017,0.023498176,0.014354359,-0.10779529,0.025292464,0.043887574,0.03650931,-0.025406793,0.024960771,-0.068962164,-0.08590844,0.00547452,0.05707197,-0.086578585,0.00571819,0.29913652,-0.01824664,0.068614416,0.08662901,0.115498245,0.0042957333,-0.118344784,0.037075303,0.081234604,0.025341943,-0.03933515,0.05006581,0.06952373,0.067378744,0.04003342,0.13067642,0.00050637126,0.1800467,-0.0076338835,0.021840837,0.05246195,-0.029376186,0.01570192,0.027412277,0.06061185,0.11634671,-0.112929225,0.081107825,-0.10753166,-0.0022836514,-0.043580927,0.12836604,0.016491171,0.092978664,-0.07768822,0.06284746,0.1069636,-0.1445828,0.11674324,0.02991885,0.03343349,0.02760065,0.05478021,0.016326316,0.00010213582,-0.008992739,0.06905111,0.10970514,0.0036036556,0.0030472374,0.031827893,0.0061750836,0.0108293835,0.002307676,0.023080854,0.040859535,0.0008327757,0.017320596,0.0050434647,9.526394e-05,0.00082900503,0.119079836,0.0118820425,0.003919553,0.0135113085,0.0060967566,0.012461326,0.0015784354,0.2092525,0.014359925,0.00014793978,0.03939577,0.032235365,0.002189335,0.033683807,0.012905281,0.046219762,0.0056003337,0.008928955,0.0026045765
7,0.27676237,0.004558081,-0.06384156,-0.0054947543,0.16741692,0.023447186,-0.002806114,0.044181332,0.051740788,0.027125563,-0.07160695,0.109038115,-0.14943181,0.05078829,-0.05011795,-0.1292215,0.03896845,-0.08849578,-0.036784276,-0.120657906,0.14770363,0.18025807,-0.16774498,7.531e-05,-0.10525991,0.0027912408,-0.059335984,0.079024166,0.024794813,0.113471836,0.012896983,0.06947761,0.0050301766,0.098094724,0.05759711,0.12466457,-0.01929008,0.0077354815,0.0039214976,-0.05994383,0.060381196,0.0034495017,0.023498176,0.014354359,-0.10779529,0.025292464,0.043887574,0.03650931,-0.025406793,0.024960771,-0.068962164,-0.08590844,0.00547452,0.05707197,-0.086578585,0.00571819,0.29913652,-0.01824664,0.068614416,0.08662901,0.115498245,0.0042957333,-0.118344784,0.037075303,0.081234604,0.025341943,-0.03933515,0.05006581,0.08657679,0.002410214,0.0018086521,0.0026402273,0.011794882,0.020766148,0.022967387,0.0012271093,0.03837419,0.011087354,0.0011623075,0.05055912,0.0001364425,0.08099355,5.568417e-05,0.0013533478,3.586666e-05,0.03529565,0.017819779,0.0025929809,0.047542933,0.092404336,0.0073998445,0.0053442824,1.7152948e-05,0.096754424,0.001921349,0.0028543684,0.028401468,0.026128396,0.026573723,0.0022359318,0.0018488521,0.009269709
8,0.008561023,0.056920696,-0.012761097,0.21031258,0.021446796,0.20334634,-0.028305218,0.14948647,-0.021217495,0.17542806,-0.07718758,0.06506079,0.085093066,-0.06577811,0.1616365,0.10868158,0.11026037,-0.003723572,-0.14260642,0.13041203,-0.026993785,0.12517239,-0.1795078,0.23382577,0.12116388,-0.062616155,0.029333454,0.09072283,0.04412915,0.100957215,-0.00012564845,-0.1246179,-0.05526934,-0.08782582,0.27676237,0.004558081,-0.06384156,-0.0054947543,0.16741692,0.023447186,-0.002806114,0.044181332,0.051740788,0.027125563,-0.07160695,0.109038115,-0.14943181,0.05078829,-0.05011795,-0.1292215,0.03896845,-0.08849578,-0.036784276,-0.120657906,0.14770363,0.18025807,-0.16774498,7.531e-05,-0.10525991,0.0027912408,-0.059335984,0.079024166,0.024794813,0.113471836,0.012896983,0.06947761,0.0050301766,0.098094724,0.08598502,0.017408613,0.042734757,0.11630248,0.024393508,0.039255235,0.010304571,0.10523858,0.056651607,0.061480787,0.029653138,0.051666763,0.001220578,0.0030235683,0.0018090751,0.01695527,0.0017001344,0.013057475,0.00040667845,0.048652206,0.0015276553,0.012268281,1.7412729e-08,0.16366725,0.09702104,0.0013814586,0.0061233183,0.008689136,0.0021923303,0.0040666433,0.028663533,0.0073812515,0.08428585,0.007077314
9,-0.065459885,0.123636544,0.051815823,-0.041604713,-0.061429154,-0.11450946,-0.057268284,0.106016695,0.06447928,-0.09748639,-0.08010091,-0.100110576,0.09575581,-0.023461102,-0.013834368,-0.13748097,-0.025277613,0.16497245,0.02486901,0.17658737,0.057714604,-0.003816381,0.18404208,0.0054438123,0.08052714,0.08210085,0.08377989,0.074419215,-0.03039585,0.009236293,0.22885773,-0.0550379,0.061457276,-0.009395625,0.008561023,0.056920696,-0.012761097,0.21031258,0.021446796,0.20334634,-0.028305218,0.14948647,-0.021217495,0.17542806,-0.07718758,0.06506079,0.085093066,-0.06577811,0.1616365,0.10868158,0.11026037,-0.003723572,-0.14260642,0.13041203,-0.026993785,0.12517239,-0.1795078,0.23382577,0.12116388,-0.062616155,0.029333454,0.09072283,0.04412915,0.100957215,-0.00012564845,-0.1246179,-0.05526934,-0.08782582,0.02435684,0.07827513,0.007840088,0.005713274,9.833169e-05,0.00012437106,0.00016326102,0.10415491,0.0011724357,0.00031623422,0.010363554,0.040042963,0.006001908,0.001728682,0.003836159,0.03180972,0.03113445,0.031058693,1.9662415e-05,0.000113140086,0.0020562175,0.073518164,0.0024564185,0.0068981284,0.00059856556,0.016723901,0.0053632385,0.00018608489,0.12874015,0.00417796,0.0040353974,1.6237436e-07,0.0142967105,0.0014451185
