,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x34(t),x35(t),x36(t),x37(t),x38(t),x39(t)
0,0.02566004,0.06522174,-0.0028200601,0.011613422,0.02079136,0.018398654,0.0127519835,0.08341472,0.0037622652,0.06660046,0.04335217,0.0050469465,0.037959028,0.005455272,0.0062995534,0.010612412,0.01893374,-0.0042109974,0.09277713,-0.00803993,0.0149290245,0.014588137,0.030990435,0.019212823,0.0016057724,-0.004848313,-0.0023975505,0.04433727,0.049421247,0.010019579,0.09294108,0.021554537,0.022783795,0.02278456,0.06322735,0.0051242886,0.0034968136,0.07022752,-0.01143907,-0.0060055796
1,-0.0022397726,0.0015650588,0.041428134,0.0033409102,0.05431302,0.04003739,0.04088129,-0.01636904,0.0010461428,0.021091636,0.09289927,0.01680819,0.02277055,0.019770717,-0.07127119,0.03168369,0.03818595,0.035713553,0.026772436,0.004112432,6.2573e-05,0.01741917,0.011773218,-0.035059314,0.01171862,-0.005951088,-0.02924266,0.07761383,-0.05696982,0.064271756,0.0869987,-0.045185078,0.13678002,0.071670935,0.025968984,0.031984612,-0.072938144,-0.0073209503,-0.016401999,-0.038044266
2,0.10476537,-0.009992555,0.07914111,-0.032372274,0.008890796,0.053309377,0.051818255,0.010358067,0.014089301,0.06188071,0.10355222,0.07946902,0.08971288,-0.0072853034,0.09474674,0.11387962,0.027596232,0.015879933,0.017553922,-0.004723723,0.090316325,0.04807116,-0.017609635,-0.0026710294,0.054917313,-0.039011326,-0.031080414,0.006008895,-0.023240965,0.090197794,0.11292467,0.0021587033,-0.021240884,0.07319423,0.012159951,-0.0006667357,-0.0026737098,0.07736574,-0.01809247,0.05377518
3,0.054330535,0.04265783,0.03799463,-0.060153577,0.1129081,-0.017587451,0.045041844,-0.08785746,8.356903e-06,0.042251244,0.0043350756,0.032942176,0.116505034,-0.00016513944,-0.02147419,0.053644862,0.19680238,-0.05711115,0.05436331,-0.09502615,0.09947827,0.07194782,-0.017836375,0.02332208,0.075900435,-0.009466734,-0.0481059,0.07413384,-0.028511815,-0.1496625,0.08263148,-0.008297868,-0.17374231,0.014250475,-0.013576109,-0.0073029497,0.026611727,0.12601067,0.12636316,-0.11686009
4,0.008690151,-0.02394989,0.030749643,0.0018949066,0.14997797,0.04367289,-0.058236115,-0.03117192,0.031417444,0.06454238,0.05094421,-0.0082410555,-0.007117076,0.051570386,-0.030267576,0.09034473,0.052166298,0.05095765,0.15517204,-0.16864774,0.04084972,0.25218526,-0.03690678,-0.036281474,0.07680874,-0.045288235,-0.038525827,0.020485481,-0.10046468,-0.032757156,0.024308695,0.02024252,0.0631834,-0.06730177,-0.057019457,0.1007012,0.05777823,-0.03892395,0.018811151,-0.17227668
5,0.11801417,0.025586788,-0.062264066,0.027894342,0.027184177,0.13290586,0.019223146,-0.08205158,0.060015865,0.06996729,0.14211276,-0.012737542,0.05350653,-0.014234278,-0.008490447,0.09327841,-0.03168859,0.21158819,0.10066297,-0.00514003,0.1369256,0.041919272,-0.0013847268,-0.01852203,0.14683312,-0.04538681,0.0037077852,0.13351163,-0.032341212,0.058777057,0.09169471,0.01810519,0.00018464215,0.12689658,0.05559756,0.035817277,-0.05512245,0.06903423,-0.067679755,0.0382068
6,0.10562157,0.166336,0.025585076,-0.040852893,0.0845004,0.04806553,-0.0953615,-0.17277166,0.009140204,0.18616518,-0.02650528,0.020644085,0.0906241,0.007535125,-0.032250788,0.0761003,-0.017621342,-0.10514582,0.06879422,-0.04405312,0.1775946,0.04940164,0.10845763,-0.033673644,0.09653011,-0.122099,-0.06551742,0.16892844,-0.09632671,-0.16288818,0.019754337,0.062140346,-0.13653246,0.08844658,0.116168186,0.046150766,0.06537366,0.15016636,-0.051114127,-0.112186536
7,0.05265996,-0.032498866,7.083174e-05,-0.044276446,0.1038756,-0.005086152,0.0970352,-0.021965358,0.091847494,0.08554721,0.07575388,0.0041655595,0.12358077,-0.01368322,-0.14486158,0.008349315,0.01714391,-0.09744395,0.11031647,-0.089097135,0.0888675,0.0524621,0.12964311,-0.05361233,0.25912806,-0.16837859,-0.15504941,0.047604475,-0.18057607,-0.05894404,-0.035190444,0.05884975,-0.05385939,0.071928605,0.027563399,0.07417338,0.1721433,-0.1140217,0.09165877,-0.13786283
8,0.09461255,-0.045134168,-0.1508131,-0.03248485,0.03643064,0.09200591,0.063412294,-0.09107443,0.1107073,-0.040851858,0.09864305,0.042952448,0.13171373,-0.009394659,-0.11805156,0.014613653,-0.07447088,-0.03743053,0.061260466,-0.07520442,0.2353192,0.06754591,0.10215907,-0.03100224,0.21848918,-0.059440743,-0.02979318,0.13878697,0.004612525,-0.024792274,0.20879929,0.157868,0.04355982,0.10013758,0.16820303,0.15140931,0.09283531,-0.04672043,0.10059245,-0.049083076
9,-0.061348725,0.018884711,-0.10511431,0.019567266,0.17278434,-0.015275322,0.07549878,-0.14438312,0.03968958,0.099858865,0.17971826,0.17981589,0.115506776,-0.0154098235,-0.22985657,0.03492228,-0.14021322,-0.13215195,0.11661063,-0.25802156,0.12486183,0.020230709,0.028059067,-0.0527766,0.16541454,-0.14398384,-0.00978749,0.0936576,-0.34027684,0.04856188,0.22168803,0.07201637,-0.31235984,0.22889848,0.15721253,0.1552571,0.1411179,-0.102666125,0.0024726945,-0.047957353
